Fine-tuning t5-large...
Step: 100, Loss: 0.3200
Step: 200, Loss: 0.2356
Step: 300, Loss: 0.1709
Step: 400, Loss: 0.1326
Step: 500, Loss: 0.1085
Step: 600, Loss: 0.0918
Step: 700, Loss: 0.0796
Step: 800, Loss: 0.0704
Step: 900, Loss: 0.0633
Step: 1000, Loss: 0.0576
Step: 1100, Loss: 0.0528
Step: 1200, Loss: 0.0488
Step: 1300, Loss: 0.0454
Step: 1400, Loss: 0.0425
Step: 1500, Loss: 0.0400
Epoch 1/10, Train Loss: 0.0388
---val test in answer status---
authoritarian | ignore
say goodbye | say goodbye
have legs | have legs
spinning wheel | spinning wheel
office | table
candy store | candy store
intoxicating | harmful
hotel | hotel
the ocean | body of water
big city | big city
landscape | landscape
watch film | watch film
lake | lake
create music | sadness
learn from each other | learn from each other
zoo | zoo
bathroom | bathroom
bottom out | appear suddenly
accomplish | accomplish
wave on | wave on
surface of earth | train station
fast food restaurant | fast food restaurant
pass sentence | pass sentence
house | house
library | health department
sit down | sit down
earth | earth
ignorance | ignorance
cow | cow
third world country | hospital
body of water | body of water
body armor | body armor
populated area | populated area
city | motel
orchestra | orchestra
exchange | exchange
charming | charming
maps | maps
kitchen | wine press
nightmares | inspiration
spreadsheet | spreadsheet
state park | fairgrounds
worry | getting bored
office | office
conquer opponent | conquer opponent
unnecessary | unnecessary
airport | laundry room
back to its owner | police station
bible | bible
furniture store | study
humidifier | humidifier
high walls | doors and windows
one head | two ears
concert hall | concert hall
frustration | frustration
pay bills | appear beautiful
airport | airport
frequent | frequent
losing weight | losing weight
fight enemy | urinate
look attractive | look attractive
knowing more | growth
blowing hard | blowing hard
enjoy | enjoy
lake superior | lake superior
desk | desk
table | table
cupboard | cupboard
problems | problems
wet clothes | wet ground
similarity | sum
reproduce | reproduce
garage | utility room
health | health
linen closet | linen closet
record store | record store
play piano | play piano
bought a book | learn to read
carry people | carry people
office supply store | office supply store
floor | floor
nome | tromsø
office supply store | office supply store
airport | airport
supermarket | chemistry lab
walking | walking
hands | hands
gym | gym
face each other | group together
play | eat grass
bus stop | bus stop
bamboo grove | bamboo grove
light up | read book
feel sorry | feel sorry
garden of eden | garden of eden
candy bar | candy bar
hall | office building
moving body | rhythmic movement
bathroom | hall
listen carefully | listen carefully
school | school
smoke | pay bills
junk yard | junk yard
honest | honest
sea world | sea world
boredom | less confusion
military base | school
lift up | holding
fabric store | fabric store
city centre | city centre
small group | small group
cupboard | cupboard
egg carton | egg carton
purse | desk drawer
air out | air out
exhilaration | exhilaration
petrify | petrify
toy store | toy store
distress | distress
school children | school children
tighten | bound
mix | with people
hear crowd go mad | hear crowd go mad
conversation | exchange of ideas
selfishness | cleanliness
retail store | retail store
museum exhibit | museum of natural history
refrigerator | jar
sit | sit
lake | pond
concordance | nodding
mouth | mouth
tomb | tomb
trunk | trunk
united states | united states
strain | strain
good heart | good karma
errors | errors
theater | relax
large room | large room
architect | architect
manhattan | coastal area
share things | sail boats
shopping mall | shopping mall
home depot | home depot
eyes opening | eyes opening
pleasure | pleasure
transistor | transistor
bite | bite
complications | complications
better job | better job
zoo | zoo
make payments | make payments
shower stall | old cheese
garden of eden | new mexico
bar | bar
friend's house | friend's house
wine | coffee
fitness centre | health club
work hard | work hard
known person | known person
study engineering | study engineering
subway | subway
garden shed | utility closet
low pay | become tired
rain | warm climate
getting drunk | drink too much
human | children
fear | fear
walk | walk
coffee shop | diner
exhilaration | reviving
stationery store | classroom
options | meeting
bathroom | bathroom
flowers | flowers
post office | table
beach | eye
market | pizza
smiling | smiling
dinner | dinner
drink water | shake hands
rude | well fed
regret | regret
work in school | work in school
office | office
time | searching for
fishing rod | fishing rod
fence post | sword
television | television
internet cafe | internet cafe
garage | garage
not tall | punctured
fast lane | fast lane
listening | watching tv
floor | nature
enter school | enter school
grocery store | restaurant
increased knowledge | increased knowledge
civilization | civilization
run away | run away
hotel | swimming pool
battleship | military
cremated | murdered
bowl | bowl
better day | bad breath
meditate | meditate
aquarium | coral reef
wage war | wage war
employability | employability
pretend | pretend
share food | share food
losing money | losing money
go broke | continue learning
geometry | geometry
space shuttle | space shuttle
demonstration | demonstration
most cities | most cities
foreign | foreign
schoolyard | schoolyard
process information | become sensible
hands | feet
kitchen drawer | kitchen drawer
winter | winter
wall | wall
airport | airport
funny | funny
serve | serve
excitement | excitement
kitchen cabinet | kitchen cabinet
fight | conversation
apartment | apartment
sidewalk | garage
experiment | experiment
die | falling asleep
a mortuary | cabinet
bring rain | bring rain
neighbor's house | neighbor's house
cool off | destroy enemy
farmers market | grocery store
comparison shopping | comparison shopping
sunset | daytime
contract | loose
talk | talk
lecture hall | conference
very dense | very heavy
movie theatre | movie theatre
going to court | going to court
end of line | end of line
to get a sexy tan | warm place
bleeding | bleeding
library | store room
carry people | cross river
preschool | preschool
phonebook | phonebook
dangerous | dangerous
good looking | competitive
map | map
fall down | cast shadow
fork | fork
memorize | learn
arthritis | making music
pornography | pornography
phone book | town
museum | tomb
fainting | fainting
fish market | tidepools
show | demonstration
bloodshot eyes | bloodshot eyes
cupboard | cupboard
art museum | art museum
bowling alley | bowling alley
library | library
crawl | crawl
book store | suitcase
wild ride | wild ride
person's head | arm
pass water | pass water
orchard | orchard
entertaining | getting paid for
skyscraper | apartment building
exceptional | worthy
theater | theater
tell time | tell time
opening | opening
work in teams | work in teams
bathroom | doorway
rest area | bus stop
hard | firm
alone | alone
spend money | spend money
shopping center | mall
office | office
sweating | sweating
have fun | have fun
store | theatre
sporting event | sporting goods store
new jersey | new jersey
chinatown | chinatown
urban area | urban area
shopping mall | shopping mall
lobby | lobby
large | large
direct sunlight | direct sunlight
ocean | ocean
dentist office | grocery store
euphoria | euphoria
resort | country club
road | road
pocket | pocket
newspaper | books
general store | bed
employee | employee
sexual attraction | sexual attraction
orbit | orbit
old man | old man
relief | relief
farmland | farmland
jazz band | music store
conference | conference
motorboat | motorboat
written material | written material
email | email
sun set | sun set
bouquet of flowers | bouquet of flowers
929
0.61248654467169
val acc:0.61248654467169
saving to  ./tmp/generate_model/t5large/WOCOT/t5large_1
Step: 100, Loss: 0.0033
Step: 200, Loss: 0.0031
Step: 300, Loss: 0.0031
Step: 400, Loss: 0.0031
Step: 500, Loss: 0.0031
Step: 600, Loss: 0.0031
Step: 700, Loss: 0.0031
Step: 800, Loss: 0.0031
Step: 900, Loss: 0.0031
Step: 1000, Loss: 0.0030
Step: 1100, Loss: 0.0030
Step: 1200, Loss: 0.0030
Step: 1300, Loss: 0.0030
Step: 1400, Loss: 0.0030
Step: 1500, Loss: 0.0030
Epoch 3/10, Train Loss: 0.0030
---val test in answer status---
authoritarian | ignore
populated areas | populated areas
atlas | atlas
natural habitat | natural habitat
television | television
airport | airport
refrigerator | refrigerator
blotter | blotter
mall | business sector
fruit basket | grocery cart
harder | bitterness
rest area | garden
loss of heat | loss of heat
living room | kitchen
barbeque | barbeque
food court | food court
computer network | computer network
being found out | being found out
take money | take money
pet shops | pet shops
